Formula,RT,Mass,Cpd,Antibase ID,CAS
C20H18O7,,370.1053,(+)-Averufanin; Avermutin,2,28458-24-4
C21H23N3O3,,365.1739,(+)-Brevianamide A,3,23402-09-7
C17H12O6,,312.0634,(-)-Aflatoxin-B1; Aflatoxin B; Aflatoxin FB1,4,1162-65-8
C15H22O4,,266.1518,(-)-Avenaciolide,5,26057-70-5
C20H20O7,,372.1209,(-)-Averantin,6,5803-62-3
C11H14O4,,210.0892,(-)-Canadensolide,7,20421-31-2
C30H33N3O10,,595.2166,"(18S,19S)-Azinomycin A",8,
C31H33N3O11,,623.2115,"(18S,19S)-Azinomycin B",9,
C10H15N1O1,,165.1154,(1R)-Anatoxin a; Very fast death factor; VFDF,10,64285-06-9
C9H12N2O4,,212.0797,"(1R,2R)-2-Amino-1-(4-nitrophenyl)-1,3-propanediol",11,
C7H15N1O4,,177.1001,"(1R,2S,3S,4S,6R)-4-Amino-6-hydroxymethyl-1,2,3-cyclohexanetriol, D-chiro-form; Validamine",12,32780-32-8
C28H38O7,,486.2618,(20Z)-Bongkrekic acid,13,11076-19-0
C8H10N2O3S1,,214.0412,"(2R,6R,7R)-7-Amino-3-methyl-8-oxo-5-thia-1-azabicyclo(4,2,0)oct-3-ene-2- carboxylic acid",14,56487-68-4
C4H5N1O2,,99.032,(2S)-2-Amino-3-butynoic acid; FR-900130,15,73410-55-6
C5H7N1O3,,129.0426,"(2S,3R)-2-Amino-3-hydroxy-4-pentynoic acid",16,65207-64-9
C4H7N1O5,,149.0324,"(2S,3R)-2-Amino-3-hydroxybutanedioic acid; L-threo--Hydroxyaspartic acid",17,7298-98-8
C5H11N1O3,,133.0739,"(2S,4R)-2-Amino-4-hydroxypentanoic acid; L-threo-4-Hydroxynorvaline; (-)-g- Hydroxynorvaline",18,21704-88-1
C7H13N1O2,,143.0946,"(2S,4S)-L-2-Amino-4-methyl-5-hexenoic acid; Dehydrofucin; U-30116; Dehydroleucine",19,25535-11-9
C6H12N4O4,,204.0859,"(3R,6R)-3,6-Bis[(aminooxy)methyl]-2,5-piperazine-dione; D-Cycloserine dimer; Cycloserine diketopiperazine DCS",20,16337-02-3
C7H9N1O3,,155.0582,"2,3-Dihydro-3-hydroxyanthranilic acid; (5S,6S)-6-Amino-5-hydroxy-1,3-cyclohexadiene-1-carboxylic acid; SF-1836-C",21,73209-13-9
C8H10N2O3S1,,214.0412,"(6R,7R)-7-Amino-3-methyl-8-oxo-5-thia-1-azabicyclo(4,2,0)oct-2-ene-2-carboxylic acid; 7-Aminodeacetoxycephalosporanic acid; 7-ADCA",22,26395-99-3
C20H30O4,,334.2144,"(9,10a)-9-Angeloyloxy-10,11-epoxydehydrofarnesol",23,
C4H8O2,,88.0524,(E)-Penitricin C,24,110-64-5
C12H14O4,,222.0892,(R)-Asparvenone,25,56495-97-7
C9H10O4,,182.0579,(R)-Carolic acid,26,22981-79-9
C5H10N1O5P1,,195.0297,(R)-D-2-Amino-5-phospho-3-pentenoic acid,27,60978-99-6
C4H8N2O4,,148.0484,(R)-O-Carbamoylserine; Serine carbamate; Carbamylserine; E-733-B,28,3819-76-9
C11H14Cl2N2O3,,292.0381,"Chloramphenicol amine; (R,R)-1-(4-Aminophenyl)-2-dichloroacetamido-1,3-propanediol",29,17364-04-4
C5H6Cl1N1O4,,178.9985,"(R,Z)-4-Amino-3-chloro-2-pentenedioic acid",30,90288-29-2
C5H12N2O2,,132.0899,(S)-2-Amino-3-dimethylaminopropanoic acid; L-4-Azaleucine; 3-(Dimethylamino)alanine,31,4746-36-5
C5H7N1O2,,113.0477,(S)-2-Amino-4-pentynoic acid; Propargylglycine,32,23235-01-0
C9H13N1O2,,167.0946,"(S)-a-Amino-1,4-cyclohexadiene-1-propanoic acid; U 51738; ZN-1636; 1,4- Cyclohexadiene-1-alanine; 2,5-Dihydrophenylalanine; FN-1636; X-13185; U-15738; DHPA",33,29821-30-5
C6H11N1O2,,129.079,(S)-a-Amino-1-methylcyclopropaneacetic acid; PA 4046-I; L-2-(1-Methylcyclopropyl)glycin,34,78213-60-2
C8H10N2O3,,182.0691,(S)-a-Amino-5-hydroxy-2-pyridinepropanoic acid; -(5-Hydroxy- 2-pyridyl)alanine; SF 1346; L-Azatyrosine,35,58525-82-9
C12H15N3O5,,281.1012,(S)-Anthglutin; (S)-Glutamic acid 5-[2-(2-carboxyphenyl)hydrazide],36,69168-09-8
C10H10O6,,226.0477,(S)-Carlic acid,37,56083-49-9
C10H12O6,,228.0634,(S)-Carlosic acid,38,54423-52-8
C4H8O2,,88.0524,(Z)-Penitricin C,39,6117-80-2
C15H12O5,,272.0685,"1,3-Bis(2,4-dihydroxyphenyl)-2-propen-1-one; 2,2',4,4'-Tetrahydroxychalcone",40,
C7H15N1O4,,177.1001,"1,5-Dideoxy-1,5-(methylimino)-D-glucitol",41,69567-10-8
C6H10N2O4,,174.0641,1-Amino-2-nitro-1-cyclopentanecarboxylic acid; MM-27,42,2381-86-4
C6H13N1O4,,163.0845,"1-Deoxynojirimycin; Moranolin; S-GI; SG-1; 1,5-Dideoxy-1,5-imino-D-glucitol",43,19130-96-2
C20H37N5O14,,571.2337,1-N-Amidino-1-N-demethyl-2-hydroxy-destomycin A,44,96479-74-2
C27H29N1O11,,543.1741,Carborubicin; 10-Carboxy-13-deoxocarminomycin; D-788-1; Carbolbicin,45,97583-07-8
C18H28N8O5,,436.2183,10381a1; Arginomycin,46,
C27H29N1O10,,527.1791,11-Deoxydoxorubicin; 11-Deoxyadriamycin,47,71800-89-0
C23H32N3O7P1,,493.1978,15-B2,48,93768-49-1
C13H20N2O5S1,,316.1093,17927-D,49,74660-91-6
C10H14N6O4,,282.1077,2'-Amino-2'-deoxyguanosine; 2AG; 2'-Amino-2'-deoxypentofuranosyl-guanine,50,60966-26-9
C16H22O2,,246.162,2-(2-Butenyl)benzenehexanoic acid; Rubrenoic acid A,51,95230-66-3
C9H18N2O3,,202.1317,"2-(Acetylamino)-3-carboxy-N,N,N-trimethyl-1-propanaminium hydroxide; FA 5859",52,87112-38-7
C23H28O6,,400.1886,2-11-A,53,89687-35-4
C22H26O6,,386.1729,2-11-B; Gibbestatin-B,54,89687-34-3
C7H13N1O4,,175.0845,2-Acetamino-4-hydroxypentanoic acid,55,
C10H14N6O3,,266.1127,2-Amino-2'-deoxyadenosine,56,4546-70-7
C4H9N1O4,,135.0532,"2-Amino-3,4-dihydroxybutanoic acid; 2-Amino-2-deoxythreonic acid; Hydroxythreonine; L-2-Amino-3,4-dihydroxybutyric acid",57,21768-44-5
C5H9N1O5,,163.0481,2-Amino-3-hydroxybutanedioic acid--methyl ester,58,
C4H7Cl2N1O2,,170.9854,"2-Amino-4,4-dichlorobutanoic acid; Armentomycin; U-10923",59,10139-00-1
C6H9N3O3,,171.0644,2-Amino-6-diazo-5-oxohexanoic acid; 6-Diazo-5-oxo-L-norleucine; NSC-7365; DON,60,71629-86-2
C6H7N1O1,,109.0528,2-Aminophenol; Questiomycin B; o-Aminophenol,61,95-55-6
C14H16N2O3S3,,356.0323,"2-Benzyl-1,4-dimethyl-5-hydroxymethyl-2,5-epitrithia-3,6- diketopiperazine; Hyalodendrin II",62,40380-25-4
C11H12O5,,224.0685,2-Benzyl-2-hydroxybutanedioic acid; (S)-a-Benzylmalic acid,63,51692-93-4
C15H24O2,,236.1776,"2-Butyl-5-pentyl-1,3-benzenediol; Stemphol",64,70680-20-5
C57H86N12O16,,1194.6285,20561; W-10a,65,69880-24-6
C63H96N12O21,,1356.6813,20562; W-10,66,
C7H6N2O4,,182.0328,2061-A; G-7063-2,67,63582-80-9
C9H7N1O4,,193.0375,2188,68,89353-39-9
C34H35Cl1N2O11,,682.1929,2562B; 2562-II,69,75207-21-5
C22H43N5O10,,537.301,"3',4'-Dideoxy-3*-epi-6'-N-methylbutirosin A; 3',4'-Dideoxy-6'-N-methylbutirosin B",70,65025-70-9
C22H43N5O10,,537.301,"3',4'-Dideoxy-6'-N-methylbutirosin A; DMB-A",71,64981-62-0
C21H41N5O10,,523.2853,"3',4'-Dideoxybutirosin-A; DDB-A",72,53318-76-6
C21H41N5O10,,523.2853,"3',4'-Dideoxybutirosin-B; DDB-B",73,42242-66-0
C10H14N6O3,,266.1127,3'-Amino-3'-deoxyadenosine,74,2504-55-4
C21H40Cl1N5O11,,573.2413,3'-Chloro-3'-deoxybutirosin A,75,57322-54-0
C14H22N6O3,,322.1753,"3'-Dimethylamio-3'-deoxy-6,6-dimethyladenosine",76,25787-42-2
C13H20N6O3,,308.1597,"3'-Methylamino-3'-deoxy-6,6-dimethylaminoadenosine",77,34522-43-5
C11H16N6O3,,280.1284,3'-Methylamino-3'-deoxyadenosine,78,25787-43-3
C17H22N6O6,,406.1601,3'-N-Acetyl-N-methylamino-3'-deoxyadenosine,79,25834-71-3
C10H7Br1N2O2,,265.9691,3-(3-Bromo-2-nitrophenyl)-1H-pyrrole; 4-(2-Nitro-3-bromophenyl)pyrrole,80,88899-31-4
C11H19N1O6,,261.1212,"3-Acetamido-3-deoxy-1,2-O-isopropylidene-a-D-glucofuranose",81,
C8H15N1O6,,221.0899,3-Acetamido-3-deoxy--D-glucopyranose,82,
C14H23N1O6,,301.1525,"3-Acetylamino-3-deoxy-1,2:5,6-di-O-isopropylidene- a-D-glucofuranose",83,
C6H9N1O3,,143.0582,3-Acetylaminodihydro-2(3H)-furanone,84,
C4H7N1O3,,117.0426,3-Amino-2-oxetanecarboxylic acid; Oxetin,85,94818-85-6
C6H13N1O5,,179.0794,3-Amino-3-deoxyglucose; Kanosamine,86,576-44-3
C4H7N1O2,,101.0477,3-Amino-4-methyl-2-oxetanone,87,
C4H7N1O2,,101.0477,3-Aminodihydro-2(3H)-furanone; Homoserine lactone; 2-Amino-4-hydroxybutanoic acid lactone,88,1192-20-7
C17H12O3,,264.0786,"3-Benzyl-4-phenyl-2-5-furandione; 3-Carboxy-2,4-diphenyl-2-butenoic anhydride",89,65641-17-0
C10H6Br2N2O2,,343.8796,3-Bromo-4-(3-bromo-2-nitophenyl)-1H-pyrrole; Bromonitrin-A,90,23305-90-0
C15H7Br1O5,,345.9477,"3-Bromo-4-hydroxy-5,10-dioxo-1-anthra-cenecarboxylic acid; 2-Bromo-4-carboxy-1-hydroxyanthraquinone",91,
C9H14O2,,154.0994,3-Butyl-5-methyl-5H-furan-2-one; 3-Butyl-5-methyl-3-oxol-2-on,92,41589-63-3
C4H8N2O4,,148.0484,3-Hydroxyasparagine; erythro-3-Hydroxy-L-asparagine,93,20790-74-3
C11H19N1O6,,261.1212,"4,6-O-Ethylidene-3-acetamido-3-deoxyglucose, methyl glycoside",94,
C11H12O5,,224.0685,"4-(1-Butenyl)-2,5-dihydro-2,5-dioxo-3-furanpropanoic acid; 2-(2'-Carboxyethyl)-3-(but-1'-enyl)maleic anhydride",95,75780-33-5
C5H8N2O3,,144.0535,4-Acetamino-3-isoxazolidinone,96,
C6H9N3O2,,155.0695,4-Amino-2-methoxy-5-pyrimidinemethanol; Bacimethrin,97,
C19H15Cl1N2O7,,418.0568,4-Aminodemethylaminoanhydrodemethyl-chlorotetracycline,98,13977-41-8
C22H20O8,,412.1158,4-Deoxy-9-hydroxyaklavinone; 2-Hydroxy-7-deoxyaklavinone,99,92936-40-8
C33H43N1O13,,661.2734,4-Hydroxybaumycinol A1; D-326 II; Rubeomycin-B; FA-1180-B,100,78919-31-0
C49H62N4O12,,898.4364,4-N-Benzyl-4-N-demethylrifampicin,101,33036-09-8
C12H25N3O6,,307.1743,"4-O-(6-Amino-6-deoxyglucopyranosyl)-2,5-dideoxystreptamine",102,61403-83-6
C26H29N1O8,,483.1893,"4-O-Demethyl-11,13-dideoxydaunorubicin; 11-Deoxy-D-788-11; COMP Z; 11-Deoxy-13-deoxocarminomycin",103,81382-08-3
C26H27N1O10,,513.1635,4-O-Demethyl-11-deoxydoxorubicin; 11-Deoxy-14-hydroxycarminomycin; COMP W,104,81382-05-0
C24H46N4O15,,630.296,477-2H; 6'-O-Glucosylgentamicin-A,105,72751-74-7
C22H26N4O5,,426.1903,49A,106,73051-89-5
C21H42N6O9,,522.3013,"5*-Amino-3',4,5*-trideoxybutirosin A",107,56182-07-1
C21H42N6O10,,538.2962,"5*-Amino-4',5*-dideoxybutirosin A",108,55480-22-3
C7H9N1O2,,139.0633,"5-Amino-1,3-cyclohexadiene-1-carboxylic acid; Gabaculine; S-708B",109,59556-29-5
C4H4N6O1,,152.0447,"5-Amino-1,6-dihydro-7H-1,2,3-triazolo[4,5-d]pyrimidin-7-one; 8-Azaguanine; Guanazolo; Pathocidin; B-28; NSC-749; SF-337",110,13114-13-1
C6H7N1O4,,157.0375,5-Amino-2-hexynedioic acid,111,
C6H7N1O3,,141.0426,"5-Amino-3-hydroxy-7-oxabicyclo(4,1,0)-hept-3-en-2-one",112,
C6H13N1O5,,179.0794,5-Amino-5-deoxygalactose; Galactostatin,113,
C6H13N1O5,,179.0794,5-Amino-5-deoxyglucose; Nojirimycin; R-468-A; ST-425; U-51640,114,15218-38-9
C6H11N1O5,,177.0637,5-Amino-5-deoxymannose-1-ketone; Mannonic g-lactam,115,62362-40-7
C6H13N1O5,,179.0794,5-Amino-5-deoxymannose; Nojirimycin B,116,
C8H12N4O5,,244.0808,5-Azacytidine; Ladakamycin; Azacitidine; NSC 102816; U 18496; 5-AZACR; 40981,117,320-67-2
C10H13N1O2,,179.0946,5-Butylpyridine-2-carboxylic acid; 5-Butylpicolinic acid; Fusaric acid,118,536-69-6
C7H15N1O5,,193.095,5-Hydroxyvalidamine,119,
C14H22Cl2N4O2,,348.112,"3,6-Bis-(5-chloro-2-piperidyl)-2,5-piperazinedione; 593-A; NSC-135758",120,41871-93-6
C21H43N5O7,,477.3163,6'-N-Methylsagamicin; XK-62-4,121,69375-06-0
C16H19N3O4S1,,349.1096,6-(4-Aminophenylacetamido)penicillanic acid; p-Aminobenzylpenicillin,122,2510-42-1
C9H14N2O3S1,,230.0725,6-Aminopenicillanic acid methyl ester,123,
C8H12N2O4S1,,232.0518,6-Aminopenicillanic acid-4-oxide,124,
C8H12N2O3S1,,216.0569,6-Aminopenicillanic acid; Penicin; 6-ApA,125,551-16-6
C46H78O16,,886.529,6016,126,69421-39-2
C18H31N7O8,,473.2234,6241 A,127,97816-59-6
C38H64N8O14,,856.4542,66-40-C,128,60870-21-5
C59H88N2O19,,1128.5981,67-121A; Sch 16656 complex,129,57515-52-3
C72H87N19O17S6,,1681.4852,68-1147 I; Sch 18640,130,79053-93-3
C8H10N2O4S1,,230.0361,"7-Amino-3-methoxy-8-oxo-5-thia-1-azabicyclo(4,2,0)oct-2-ene-2-carboxylic acid",131,51803-38-4
C10H12N2O5S1,,272.0467,7-Aminocephalosporanic acid; 7-ACA,132,957-68-6
C17H17Br1O6,,396.0209,7-Bromo-7-dechlorogriseofulvin; Bromogriseofulvin,133,17793-98-5
C20H16O8,,384.0845,"8-Acetyl-7,8,9,10-tetrahydro-1,6,8,10,11-pentahydroxy-5,12-naphthacenedione; Carminomycinone",134,52794-97-5
C9H11N5O5,,269.076,8-Azainosine,135,4968-68-7
C11H16N2O7S2,,352.0399,8U-207; Deacetyldihydro 890A9; Desacetyl 890A10,136,68206-95-1
C22H24N4O8,,472.1594,"9-Amino-12-(2-amino-1-hydroxy-2-oxoethyl)-4-hydroxy-10,13-dioxo-2-oxy-11,14-diazatricyclo(15,2,2,1,3,7)docosa3,5,7(22),17,19,20- hexaene-15-carboxylic acid",137,93375-50-9
C22H20O9,,428.1107,9-Hydroxyaklavinone; 2-Hydroxyaklavinone; 12-Deoxyaklanonic acid,138,85233-34-7
C15H20N4O8S1,,416.1002,A 16886A; A-16886-I; Deacetyl-3-O-carbamoylcephalosporin C; WS 3442B,139,60831-57-4
C28H45N1O1,,411.3501,"A-25822B; 14-Aza-24-methylene-D-homocholesta-8(9),14(14a)-dien-3-ol; UCA-1064-A; 3-Hydroxy-24-methylene-14a-aza-D-homo-5a-cholesta- 8(9),14(14a)-diene",140,50686-98-1
C28H45N1O2,,427.345,"A-25822-D; 3,15-Dihydroxy-24-methylene-14a-aza-D-homo-5a-cholesta-8(9),14(14a)-diene",141,55187-53-6
C20H30O7,,382.1992,(-)-A-26771B,142,56448-20-5
C42H72O16,,832.482,A 27106; 26-O--D-Glucopyranosylmonensin,143,58936-31-5
C52H81N7O16,,1059.574,A 30912A; Echinocandin B; A 22082; SF-7810; A-32204-B,145,54651-05-7
C52H81N7O13,,1011.5892,A 30912D; Echinocandin D,146,71018-13-8
C20H13N3O6,,391.0804,A 33853,147,80148-45-4
C84H99Cl1N8O36,,1830.5851,A-35512-B,148,63849-30-9
C58H44Cl3N7O18,,1231.1808,A-41030A,149,89147-18-2
C58H45Cl2N7O18,,1197.2198,A-41030B,150,89139-42-4
C64H54Cl3N7O23,,1393.2337,A-41030C,151,89140-21-6
C67H63Cl2N7O18,,1323.3607,A-41030D,152,89139-43-5
C58H46Cl1N7O18,,1163.2588,A-41030E,153,
C70H64Cl3N7O28,,1555.2865,A-41030F,154,89140-20-5
C79H82Cl3N7O28,,1681.4273,A-41030-G,155,
C38H50N6O8,,718.369,A-54556 A,156,95398-45-1
C37H48N6O8,,704.3534,A-54556 B,157,95398-44-0
C36H48N6O8,,692.3534,A-54556 C,158,95398-43-9
C38H52N6O8,,720.3847,A-54556 D,159,95398-42-8
C35H46N6O8,,678.3377,A-54556 E,160,95398-41-7
C36H48N6O9,,708.3483,A-54556 H,161,95398-40-6
C12H13N1O6,,267.0743,A 58365A,162,
C13H15N1O6,,281.0899,A 58365B,163,
C37H63N1O12,,713.435,"A 6888X; 5*,20-Dideoxo-5*,20-dihydroxycirramycin B1",164,74918-30-2
C54H90O16,,994.6229,A-130-B,165,73492-07-6
C37H50N6O14,,802.3385,A-201-A,166,37305-78-5
C37H50N6O15,,818.3334,A-201-C,167,74918-37-9
C29H36N6O10,,628.2493,A-201-D,168,75076-80-1
C37H52N6O14,,804.3542,A-201-E,169,74918-38-0
C49H84O17,,944.5709,A-204-A,170,43110-10-7
C52H81N7O15,,1043.5791,A-30912-B; Echinocandin C,171,71018-12-7
C53H83N7O16,,1073.5896,A-30912-H; A-42355,172,77368-57-1
C18H24N2O8,,396.1533,"A-32390-A; 1,6-Di-O-(2-isocyano-3-methylcrotonyl)-D-mannitol",173,61241-59-6
C42H57N7O9,,803.4218,A-3302-B; TL-119; A-3309-B,174,55599-68-3
C34H30O10,,598.1839,A-39183-A,175,79426-51-0
C19H35N3O13,,513.217,A-396-I; SS-56-D; U-50147; A-16316-A,176,
C27H42O9,,510.2829,Pleuromutilin--D-xylopyranoside; A-40104-A,177,69659-06-9
C11H15N1O3,,209.1052,"a-Amino-1,4-cyclohexadiene-1-propanoic acid-N-acetate",178,16055-11-1
C7H12N2O4,,188.0797,a-Amino-3-hydroxy-2-oxo-3-azetidinebutanoic acid; Tabtoxinine -lactam,179,
C10H14N2O3,,210.1004,a-Amino-g-hydroxy--methylpyridinebutanoic acid; 2-Amino-4- hydroxy-3-methyl- 4-(2-pyridyl)butanoic acid; Nikkomycin E,180,
C89H102Cl1N9O36,,1907.6116,a-Avoparcin; LL-AV 290; Avotan; AV 290; C 254; CL 81588,181,37332-99-3
C15H17Cl1O5,,312.0765,AA 57; Arenaemycin-C; Arenamycin-C,182,68026-87-9
C82H86Cl4N8O29,,1786.4255,AAD-609 B; Kibdelin-B,183,
C83H88Cl4N8O29,,1800.4411,AAD-609 C1; Kibdelin C1,184,
C14H28N6O8,,408.1969,AC-4437,185,99890-21-8
C19H15Cl1O8,,406.0455,Physciosporin; Chlorogranulatin; Virensic acid,186,
C25H43N1O19,,661.2429,Adiposin-2; Adiposin II; TAI-2; TAI-B; A2396 2-0,187,83764-12-9
C22H36N4O13,,564.2279,Aerobactin,188,26198-65-2
C17H24O6,,324.1573,AF Toxin II; AF Toxin IIA,189,
C16H14O6,,302.079,Aflatoxin B3; Parasiticol,190,23315-33-5
C16H14O5,,286.0841,Aflatoxin D1,191,52373-83-8
C17H12O8,,344.0532,Aflatoxin GM1,192,23532-00-5
C17H12O7,,328.0583,Aflatoxin-G1,193,1165-39-5
C17H12O7,,328.0583,Aflatoxin-M1; Milk toxin,194,6795-23-9
C28H39N1O1,,405.3032,Aflavinine,195,74328-59-9
C26H40N5,,422.3284,Agelasine-A,196,
C18H33N3O2S1,,355.2293,Agelasidine A,197,87853-53-0
C26H40N5,,422.3284,Agelasine C,198,92664-79-4
C26H40N5,,422.3284,Agelasine D,199,92664-81-8
C26H40N5,,422.3284,Agelasine E,200,92599-00-3
C26H40N5,,422.3284,Agelasine F,201,88929-28-6
C31H43N6O2,,531.3447,Ageline B,202,88874-28-6
C18H36O4,,316.2614,Aggreceride A,203,
C32H36N4O10,,636.2431,Agrobactin,204,70393-50-9
C22H36N6O16P2,,702.1663,Agrocin 84,205,59111-78-3
C36H59N5O9,,705.4313,Ahpatinin A,206,
C37H61N5O9,,719.4469,Ahpatinin E,207,105135-26-0
C37H61N5O9,,719.4469,Ahpatinin F,208,105114-24-7
C40H59N5O9,,753.4313,Ahpatinin G; WK-142B,209,
C20H29N3O7,,423.2006,AI 77A,210,77674-98-7
C28H49N1O8,,527.3458,AI-R6-4; A1-R6-4,211,
C23H27N1O6,,413.1838,AK Toxin I,212,85146-09-4
C22H25N1O6,,399.1682,AK Toxin II,213,85146-10-7
C21H16O8,,396.0845,Aklanonic acid,214,91432-47-2
C30H35N1O10,,569.2261,Aklavin; 1-Deoxypyrromycin; Doxypyrromycin; NSC-100290; MA-144-T1; 5888-II; Aclacinomycin-T,215,60504-57-6
C22H20O8,,412.1158,Aklavinone I,216,53526-61-7
C22H20O8,,412.1158,"(7R,9R,10R)-Aklavinone II",217,53526-60-6
C22H20O8,,412.1158,Aklavinone; MA-144-D1,218,16234-96-1
C26H27N1O8,,481.1737,"Akrobomycin; Anthracycline R20PI; 9,10-Anhydro-13-deoxocarminomycin; D-788-2",219,89156-94-5
C9H15N3O6,,261.0961,Alahopcin; Nourseimycin; B-52653,220,82576-50-9
C92H150N22O25,,1963.1143,Alamethicin I; Alamethicin F30; Alamethicin g; Alamethicin; U-22324; F-30; F-50,221,
C15H21N7O6,,395.1553,Alazopeptin; Ambomycin; Arazopeptin; Diazamycin-C; Duazomycin-C; BA 8509-C; NSC 10270; Diazomycin-C,222,1397-84-8
C27H28O9,,496.1733,Albacarcin M; Chrysomycin B,223,92934-54-8
C28H28O9,,508.1733,Albacarcin V; Chrysomycin A; Chrysomycin,224,92841-46-8
C18H28O5,,324.1937,Albocycline M-1,225,
C18H28O5,,324.1937,Albocycline M-2,226,93752-56-8
C18H30O5,,326.2093,Albocycline M-3,227,93775-29-2
C18H28O5,,324.1937,Albocycline M-4,228,93752-57-9
C18H28O5,,324.1937,Albocycline M-5,229,93752-58-0
