Alignment ID,Average Mz
3151,290.1426
25989,1562.0259
25310,1291.5955
15371,535.3986
4587,317.1468
26048,1584.0071
26031,1579.0466
25962,1551.0181
25702,1385.9547
25312,1291.5994
21687,765.5023
19180,653.3905
16670,571.4193
16096,555.3326
16044,553.4111
11569,448.1769
11469,445.39
7623,373.3492
7488,371.162
2941,285.2432
2431,275.1586
1100,240.0868
26103,1605.984
26047,1583.995
26032,1579.0573
26028,1577.9618
25977,1555.9679
25910,1533.9949
25909,1533.984
25887,1522.9872
25866,1518.9919
25831,1501.9674
25812,1490.9607
25642,1357.9194
25509,1325.8932
25211,1277.6187
24813,1209.885
24722,1181.8513
24312,1033.8147
24204,1005.7847
23568,910.6123
23487,901.5531
23450,896.5965
23297,879.5702
22178,786.4722
21202,737.4697
19718,669.3874
19714,669.3872
18575,636.3209
18546,635.381
17620,603.3911
17238,589.4335
16674,571.4222
16598,569.3494
16340,561.4013
15707,544.8588
15706,544.8579
15666,543.3909
14985,525.3807
11466,445.3897
10518,427.3792
9491,409.3687
9492,409.3687
7963,381.0613
7906,379.2261
7622,373.3474
6306,349.1803
5035,325.2745
3848,303.254
1322,247.1084
1140,241.155
1099,240.0846
1078,239.1376
404,218.1014
384,217.1594
226,211.0718
4,200.0923
25966,1551.9772
25945,1547.0175
25899,1530.0018
25625,1353.9282
25455,1314.6747
25454,1314.6742
25332,1293.6272
25330,1293.6143
25316,1291.6487
25313,1291.635
25267,1286.6447
24630,1149.8265
23868,941.5697
23590,913.537
22455,805.4948
22386,800.4874
22152,784.5819
22127,783.5148
22114,782.5736
21042,730.5251
20495,703.3884
20319,693.384
20318,693.3737
20023,679.368
19785,671.4011
19779,671.3029
19713,669.3863
19388,659.3662
19204,654.2863
19203,654.2845
18771,642.3204
18769,642.3196
18666,639.3125
18609,637.3103
18541,635.3348
18113,621.3652
18112,621.3649
18111,621.3645
18005,617.3696
17785,609.3641
17558,601.3766
17486,599.3597
17165,587.36
17033,583.3654
16814,575.3604
16530,567.3347
15969,551.3763
15965,551.3388
15520,539.4553
15322,533.8549
14103,501.3442
13107,478.3508
13104,478.3401
10011,419.2187
8396,389.2657
7808,377.2906
7327,368.1824
5370,331.1695
